_id,titulo,anio_salida,autor,id_imagen_portada,genero,duracion,numero_pista
mj001,Wanna Be Startin Somethin,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Funk pop,6:03,1
mj002,Baby Be Mine,1982,Michael Jackson,images/michael_jackson_thriller.jpg,R&B,4:20,2
mj003,The Girl Is Mine,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Pop,3:42,3
mj004,Thriller,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Funk pop,5:57,4
mj005,Beat It,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Hard rock,4:18,5
mj006,Billie Jean,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Synth-pop,4:54,6
mj007,Human Nature,1982,Michael Jackson,images/michael_jackson_thriller.jpg,Soft rock,4:06,7
mj008,P.Y.T. (Pretty Young Thing),1982,Michael Jackson,images/michael_jackson_thriller.jpg,Dance pop,3:59,8
mj009,The Lady in My Life,1982,Michael Jackson,images/michael_jackson_thriller.jpg,R&B,4:59,9
